id;cnae3;dcnae_agr3;provincia;anio;gradvinc;noprotra;noprovin;volneg;fact;num_bancos;pmc;target
342128;561;RESTAURANTES Y PUESTOS DE COMIDAS;29;1998;5;0;0;0;;;;0
472392;683;ACTIVIDADES INMOBILIARIAS POR CUENTA DE TERCEROS;17;2018;5;0;0;0;;;;0
767060;643;INVERSION COLECTIVA. FONDOS Y ENTIDADES FINANCIERAS SIMILARES;28;2015;5;0;0;0.82;;;;0
688193;014;PRODUCCION GANADERA;05;2016;5;0;0;0;;;;0
859867;453;COMERCIO DE REPUESTOS Y ACCESORIOS DE VEHICULOS DE MOTOR;41;2017;1;4;1;5018.95;;;;1
791546;551;HOTELES Y ALOJAMIENTOS SIMILARES;36;1999;4;1;1;6872.21;5017.42;1;53.34;1
244965;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;29;2006;1;3;1;554884.43;;;;0
289240;551;HOTELES Y ALOJAMIENTOS SIMILARES;37;1995;4;1;0;0;339.03;1;;0
779626;711;SERVICIOS TECNICOS DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES;18;2016;1;3;2;132341.53;;;28.3;0
589711;941;ACTIVIDADES DE ORGANIZACIONES EMPRESARIALES. PROFESIONALES Y PATRONALES;28;2006;5;0;0;0;;;;0
617798;749;OTRAS ACTIVIDADES PROFESIONALES. CIENTIFICAS Y TECNICAS N.C.O.P.;06;2005;1;4;5;380407.46;;;12.62;0
776401;432;INSTALACIONES ELECTRICAS. DE FONTANERIA Y OTRAS INSTALACIONES EN OBRAS DE CONSTRUCCION;07;2013;1;4;3;128390.44;;;;1
62022;467;OTRO COMERCIO AL POR MAYOR ESPECIALIZADO;33;1994;2;5;1;204486.55;;;27.21;1
598053;478;COMERCIO AL POR MENOR EN PUESTOS DE VENTA Y MERCADILLOS;46;2003;4;1;0;0;;;;0
476113;631;"PROCESO DE DATOS. HOSTING Y ACTIVIDADES RELACIONADAS; PORTALES WEB";07;2013;5;0;0;0;;;;0
106345;432;INSTALACIONES ELECTRICAS. DE FONTANERIA Y OTRAS INSTALACIONES EN OBRAS DE CONSTRUCCION;36;1989;5;0;0;0;;;;0
195929;102;PROCESADO Y CONSERVACION DE PESCADOS. CRUSTACEOS Y MOLUSCOS;46;1998;1;5;10;1827782.53;;;51.63;0
753346;461;INTERMEDIARIOS DEL COMERCIO;26;2020;5;0;0;0;;;;0
128805;453;COMERCIO DE REPUESTOS Y ACCESORIOS DE VEHICULOS DE MOTOR;27;1989;1;4;1;5137.64;;;2.17;1
624896;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;08;2012;1;4;1;14107;;;69.71;0
634691;493;OTRO TRANSPORTE TERRESTRE DE PASAJEROS;17;2012;2;3;0;3176.8;;;;0
181644;411;PROMOCION INMOBILIARIA;46;1993;4;1;0;419033.39;;;;0
245374;433;ACABADO DE EDIFICIOS;08;1999;5;0;0;0;;;;0
849884;683;ACTIVIDADES INMOBILIARIAS POR CUENTA DE TERCEROS;47;2002;2;3;0;19587.53;;;;0
597854;474;COMERCIO AL POR MENOR DE EQUIPOS PARA LAS TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES EN ESTABLECIMIENTOS ESPECIALIZADOS;15;2010;5;0;0;0;;;;0
398709;439;OTRAS ACTIVIDADES DE CONSTRUCCION ESPECIALIZADA;20;2007;5;0;0;0;;;;0
449332;463;COMERCIO AL POR MAYOR DE PRODUCTOS ALIMENTICIOS. BEBIDAS Y TABACO;30;2014;5;0;0;0;;;;0
523783;016;ACTIVIDADES DE APOYO A LA AGRICULTURA. A LA GANADERIA Y DE PREPARACION POSTERIOR A LA COSECHA;46;1998;5;0;0;0;;;;0
